name,link,stars,review_count,location,category
Le Petit Vapoteur,www.lepetitvapoteur.com,4.9,3149,,food_beverages_tobacco
Comptoir des Vignes,www.comptoirdesvignes.fr,4.9,2208,,food_beverages_tobacco
MonWhisky.fr,monwhisky.fr,4.9,849,4 rue Alfred Dreyfus . 87350PANAZOL,food_beverages_tobacco
Belleville Brulerie - Paris,cafesbelleville.com,4.9,819,14 Bis Rue Lally-Tollendal . 75019Paris,food_beverages_tobacco
Spiruline des îles d'or,spiruline-des-iles-dor.com,4.9,400,1143 Chemin de la Garde . 83400Hyères,food_beverages_tobacco
Demain les Vins,demainlesvins.com,4.9,251,,food_beverages_tobacco
Au-droit-de-bouchon,au-droit-de-bouchon.com,4.9,231,,food_beverages_tobacco
Stephconti vins & spiritueux,stephconti.fr,4.9,217,47270 . St Pierre de Clairac,food_beverages_tobacco
Alcoool - La Start-Up qui adore faire la fête !,alcoool.fr,4.9,194,,food_beverages_tobacco
Entrepôt Italien,entrepotitalien.fr,4.9,179,"Quartier de la Jouberte, 78 route de brignoles . 83143Le Val",food_beverages_tobacco
Rhum Attitude,www.rhumattitude.com,4.8,4495,"10, rue de Penthièvre . 75008Paris",food_beverages_tobacco
Vert Tiges,vert-tiges.com,4.8,4290,910 route de Valmont . 76400Fécamp,food_beverages_tobacco
La Fourche,lafourche.fr,4.8,3364,60 Avenue Lucie Aubrac . 93190Livry-Gargan,food_beverages_tobacco
Oliquide,www.oliquide.com,4.8,2760,22 Avenue Maréchal Foch . 54200Toul,food_beverages_tobacco
Nutri Naturel,nutri-naturel.com,4.8,2008,17 rue des aciéries . 81160Saint-Juéry,food_beverages_tobacco
Le Petit Ballon,lepetitballon.com,4.8,1640,43 rue du rocher . 75008Paris,food_beverages_tobacco
Café en grain,cafe-en-grain.com,4.8,1307,910 route de Valmont . 76400Fécamp,food_beverages_tobacco
Vintage and Co,vintageandco.com,4.8,979,"79, rue du Bac . 75007Paris",food_beverages_tobacco
Lu Shan - Art du Thé,boutique.lushan.fr,4.8,942,100 Place Saint Léger . 73000Chambéry,food_beverages_tobacco
Pêché Maison,www.peche-maison.fr,4.8,859,85800 . Saint-Gilles Croix de Vie,food_beverages_tobacco
VDLV e-shop,www.vincentdanslesvapes.fr,4.8,665,2 Chemin des Arestieux . 33610Cestas,food_beverages_tobacco
CBD Toulouse,cbdtoulouse.fr,4.8,659,rue matabiau . 31000Toulouse,food_beverages_tobacco
Oé,oeforgood.com,4.8,629,,food_beverages_tobacco
Lomi,lomi.coffee,4.8,252,3 ter rue Marcadet . 75018Paris,food_beverages_tobacco
VignArtea,vignartea.fr,4.8,248,1243 Chemin d'Halkeia . 64250Itxassou,food_beverages_tobacco
Malindo,malindo.fr,4.8,239,,food_beverages_tobacco
e-winery,e-winery.fr,4.8,159,,food_beverages_tobacco
Champagne Terroir,champagne-terroir.fr,4.8,140,,food_beverages_tobacco
Dock des Epices,dockdesepices.com,4.8,139,Rue Saint-James 20 . 33000Bordeaux,food_beverages_tobacco
Hayuco Coffee Roasters ,hayuco.coffee,4.8,123,197 Avenue de Fronton  . 31200Toulouse ,food_beverages_tobacco
Nordic Temptations,www.nordictemptations.com,4.8,117,25 Rue Vauban . 06600Antibes,food_beverages_tobacco
La Couleur Du Vin,lacouleurduvin.fr,4.8,112,,food_beverages_tobacco
LAFRENCHI,lafrenchi.fr,4.8,107,,food_beverages_tobacco
Le Bon Gustave,lebongustave.com,4.8,91,15 rue des Cuirassiers . 69003 Lyon,food_beverages_tobacco
Zayti,lestresorsdumarocbyzayti.com,4.8,79,Impasse de la beaupré . 57130vionville,food_beverages_tobacco
Mon Plan CBD,monplancbd.fr,4.8,78,,food_beverages_tobacco
e-vapopote.fr,e-vapopote.fr,4.8,70,"61,Chemin du Puyrousseau . 24000Perigueux",food_beverages_tobacco
Le petit zeste,lepetitzeste.com,4.8,57,177 bis avenue Louis Lumière . 34400LUNEL,food_beverages_tobacco
Nutrimuscle,nutrimuscle.com,4.7,9222,,food_beverages_tobacco
Ecigplanete,ecigplanete.com,4.7,2344,42 Route de St Symphorien d'Ozon . 69800Saint priest,food_beverages_tobacco
